entity_id,type,debit,credit,amount,currency,fee,tax,on_hold,settled,created_at,settled_at,settlement_id,posted_at,credit_type,description,notes,payment_id,settlement_utr,order_id,order_receipt,method,card_network,card_issuer,card_type,dispute_id
pay_DEMO_21,payment,0,1230264,1260000,INR,25200,4536,false,true,1788292800,1788465600,setl_DEMO_2,,default,Payment from Neha Nair for Nila Home & Kitchen,Inventory partner: Urban Loom Supply Co.; Pune fulfilment,,HDFCDEMO0002,order_DEMO_021,,upi,,,,
pay_DEMO_22,payment,0,117168,120000,INR,2400,432,false,true,1788294600,1788467400,setl_DEMO_2,,default,Payment from Arjun Menon for Nila Home & Kitchen,Inventory partner: Konkan Kitchenware Traders; Pune fulfilment,,HDFCDEMO0002,order_DEMO_022,,upi,,,,
pay_DEMO_23,payment,0,878760,900000,INR,18000,3240,false,true,1788296400,1788469200,setl_DEMO_2,,default,Payment from Priya Deshmukh for Nila Home & Kitchen,Inventory partner: Mango Leaf Home Goods; Pune fulfilment,,HDFCDEMO0002,order_DEMO_023,,upi,,,,
pay_DEMO_24,payment,0,87876,90000,INR,1800,324,false,true,1788298200,1788471000,setl_DEMO_2,,default,Payment from Karan Bhatia for Nila Home & Kitchen,Inventory partner: Deccan Storage Works; Pune fulfilment,,HDFCDEMO0002,order_DEMO_024,,upi,,,,
pay_DEMO_25,payment,0,419852,430000,INR,8600,1548,false,true,1788300000,1788472800,setl_DEMO_2,,default,Payment from Meera Joshi for Nila Home & Kitchen,Inventory partner: Urban Loom Supply Co.; Pune fulfilment,,HDFCDEMO0002,order_DEMO_025,,upi,,,,
pay_DEMO_26,payment,0,126932,130000,INR,2600,468,false,true,1788301800,1788474600,setl_DEMO_2,,default,Payment from Siddharth Rao for Nila Home & Kitchen,Inventory partner: Konkan Kitchenware Traders; Pune fulfilment,,HDFCDEMO0002,order_DEMO_026,,upi,,,,
pay_DEMO_27,payment,0,302684,310000,INR,6200,1116,false,true,1788303600,1788476400,setl_DEMO_2,,default,Payment from Ananya Kapoor for Nila Home & Kitchen,Inventory partner: Mango Leaf Home Goods; Pune fulfilment,,HDFCDEMO0002,order_DEMO_027,,upi,,,,
pay_DEMO_28,payment,0,1152152,1180000,INR,23600,4248,false,true,1788305400,1788478200,setl_DEMO_2,,default,Payment from Rahul Verma for Nila Home & Kitchen,Inventory partner: Deccan Storage Works; Pune fulfilment,,HDFCDEMO0002,order_DEMO_028,,upi,,,,
pay_DEMO_29,payment,0,790884,810000,INR,16200,2916,false,true,1788307200,1788480000,setl_DEMO_2,,default,Payment from Ishita Patil for Nila Home & Kitchen,Inventory partner: Urban Loom Supply Co.; Pune fulfilment,,HDFCDEMO0002,order_DEMO_029,,upi,,,,
pay_DEMO_30,payment,0,78112,80000,INR,1600,288,false,true,1788309000,1788481800,setl_DEMO_2,,default,Payment from Manish Gupta for Nila Home & Kitchen,Inventory partner: Konkan Kitchenware Traders; Pune fulfilment,,HDFCDEMO0002,order_DEMO_030,,upi,,,,
pay_DEMO_31,payment,0,292920,300000,INR,6000,1080,false,true,1788310800,1788483600,setl_DEMO_2,,default,Payment from Kavya Reddy for Nila Home & Kitchen,Inventory partner: Mango Leaf Home Goods; Pune fulfilment,,HDFCDEMO0002,order_DEMO_031,,upi,,,,
pay_DEMO_32,payment,0,1240028,1270000,INR,25400,4572,false,true,1788312600,1788485400,setl_DEMO_2,,default,Payment from Nikhil Jain for Nila Home & Kitchen,Inventory partner: Deccan Storage Works; Pune fulfilment,,HDFCDEMO0002,order_DEMO_032,,upi,,,,
pay_DEMO_33,payment,0,732300,750000,INR,15000,2700,false,true,1788314400,1788487200,setl_DEMO_2,,default,Payment from Aditi Kulkarni for Nila Home & Kitchen,Inventory partner: Urban Loom Supply Co.; Pune fulfilment,,HDFCDEMO0002,order_DEMO_033,,upi,,,,
pay_DEMO_34,payment,0,1191208,1220000,INR,24400,4392,false,true,1788316200,1788489000,setl_DEMO_2,,default,Payment from Rohan Mehta for Nila Home & Kitchen,Inventory partner: Konkan Kitchenware Traders; Pune fulfilment,,HDFCDEMO0002,order_DEMO_034,,upi,,,,
pay_DEMO_35,payment,0,497964,510000,INR,10200,1836,false,true,1788318000,1788490800,setl_DEMO_2,,default,Payment from Sneha Iyer for Nila Home & Kitchen,Inventory partner: Mango Leaf Home Goods; Pune fulfilment,,HDFCDEMO0002,order_DEMO_035,,upi,,,,
pay_DEMO_36,payment,0,683480,700000,INR,14000,2520,false,true,1788319800,1788492600,setl_DEMO_2,,default,Payment from Vivek Shah for Nila Home & Kitchen,Inventory partner: Deccan Storage Works; Pune fulfilment,,HDFCDEMO0002,order_DEMO_036,,upi,,,,
pay_DEMO_37,payment,0,97640,100000,INR,2000,360,false,true,1788321600,1788494400,setl_DEMO_2,,default,Payment from Neha Nair for Nila Home & Kitchen,Inventory partner: Urban Loom Supply Co.; Pune fulfilment,,HDFCDEMO0002,order_DEMO_037,,upi,,,,
pay_DEMO_38,payment,0,117168,120000,INR,2400,432,false,true,1788323400,1788496200,setl_DEMO_2,,default,Payment from Arjun Menon for Nila Home & Kitchen,Inventory partner: Konkan Kitchenware Traders; Pune fulfilment,,HDFCDEMO0002,order_DEMO_038,,upi,,,,
pay_DEMO_39,payment,0,829940,850000,INR,17000,3060,false,true,1788325200,1788498000,setl_DEMO_2,,default,Payment from Priya Deshmukh for Nila Home & Kitchen,Inventory partner: Mango Leaf Home Goods; Pune fulfilment,,HDFCDEMO0002,order_DEMO_039,,upi,,,,
pay_DEMO_40,payment,0,888524,910000,INR,18200,3276,false,true,1788327000,1788499800,setl_DEMO_2,,default,Payment from Karan Bhatia for Nila Home & Kitchen,Inventory partner: Deccan Storage Works; Pune fulfilment,,HDFCDEMO0002,order_DEMO_040,,upi,,,,
pay_DEMO_41,payment,0,390560,400000,INR,8000,1440,false,true,1788328800,1788501600,setl_DEMO_3,,default,Payment from Meera Joshi for Nila Home & Kitchen,Inventory partner: Urban Loom Supply Co.; Pune fulfilment,,HDFCDEMO0003,order_DEMO_041,,upi,,,,
pay_DEMO_42,payment,0,956872,980000,INR,19600,3528,false,true,1788330600,1788503400,setl_DEMO_3,,default,Payment from Siddharth Rao for Nila Home & Kitchen,Inventory partner: Konkan Kitchenware Traders; Pune fulfilment,,HDFCDEMO0003,order_DEMO_042,,upi,,,,
pay_DEMO_43,payment,0,341740,350000,INR,7000,1260,false,true,1788332400,1788505200,setl_DEMO_3,,default,Payment from Ananya Kapoor for Nila Home & Kitchen,Inventory partner: Mango Leaf Home Goods; Pune fulfilment,,HDFCDEMO0003,order_DEMO_043,,upi,,,,
pay_DEMO_44,payment,0,478436,490000,INR,9800,1764,false,true,1788334200,1788507000,setl_DEMO_3,,default,Payment from Rahul Verma for Nila Home & Kitchen,Inventory partner: Deccan Storage Works; Pune fulfilment,,HDFCDEMO0003,order_DEMO_044,,upi,,,,
pay_DEMO_45,payment,0,1093568,1120000,INR,22400,4032,false,true,1788336000,1788508800,setl_DEMO_3,,default,Payment from Ishita Patil for Nila Home & Kitchen,Inventory partner: Urban Loom Supply Co.; Pune fulfilment,,HDFCDEMO0003,order_DEMO_045,,upi,,,,
pay_DEMO_46,payment,0,1259556,1290000,INR,25800,4644,false,true,1788337800,1788510600,setl_DEMO_3,,default,Payment from Manish Gupta for Nila Home & Kitchen,Inventory partner: Konkan Kitchenware Traders; Pune fulfilment,,HDFCDEMO0003,order_DEMO_046,,upi,,,,
pay_DEMO_47,payment,0,761592,780000,INR,15600,2808,false,true,1788339600,1788512400,setl_DEMO_3,,default,Payment from Kavya Reddy for Nila Home & Kitchen,Inventory partner: Mango Leaf Home Goods; Pune fulfilment,,HDFCDEMO0003,order_DEMO_047,,upi,,,,
pay_DEMO_48,payment,0,331976,340000,INR,6800,1224,false,true,1788341400,1788514200,setl_DEMO_3,,default,Payment from Nikhil Jain for Nila Home & Kitchen,Inventory partner: Deccan Storage Works; Pune fulfilment,,HDFCDEMO0003,order_DEMO_048,,upi,,,,
pay_DEMO_49,payment,0,449144,460000,INR,9200,1656,false,true,1788343200,1788516000,setl_DEMO_3,,default,Payment from Aditi Kulkarni for Nila Home & Kitchen,Inventory partner: Urban Loom Supply Co.; Pune fulfilment,,HDFCDEMO0003,order_DEMO_049,,upi,,,,
pay_DEMO_50,payment,0,458908,470000,INR,9400,1692,false,true,1788345000,1788517800,setl_DEMO_3,,default,Payment from Rohan Mehta for Nila Home & Kitchen,Inventory partner: Konkan Kitchenware Traders; Pune fulfilment,,HDFCDEMO0003,order_DEMO_050,,upi,,,,
pay_DEMO_51,payment,0,144336,150000,INR,4800,864,false,true,1788346800,1788519600,setl_DEMO_3,,default,Payment from Sneha Iyer for Nila Home & Kitchen,Inventory partner: Mango Leaf Home Goods; Pune fulfilment,,HDFCDEMO0003,order_DEMO_051,,card,American Express,,credit,
pay_DEMO_52,payment,0,962240,1000000,INR,32000,5760,false,true,1788348600,1788521400,setl_DEMO_3,,default,Payment from Vivek Shah for Nila Home & Kitchen,Inventory partner: Deccan Storage Works; Pune fulfilment,,HDFCDEMO0003,order_DEMO_052,,card,American Express,,credit,
pay_DEMO_53,payment,0,991107,1030000,INR,32960,5933,false,true,1788350400,1788523200,setl_DEMO_3,,default,Payment from Neha Nair for Nila Home & Kitchen,Inventory partner: Urban Loom Supply Co.; Pune fulfilment,,HDFCDEMO0003,order_DEMO_053,,card,American Express,,credit,
pay_DEMO_54,payment,0,1010352,1050000,INR,33600,6048,false,true,1788352200,1788525000,setl_DEMO_3,,default,Payment from Arjun Menon for Nila Home & Kitchen,Inventory partner: Konkan Kitchenware Traders; Pune fulfilment,,HDFCDEMO0003,order_DEMO_054,,card,American Express,,credit,
pay_DEMO_55,payment,0,1337514,1390000,INR,44480,8006,false,true,1788354000,1788526800,setl_DEMO_3,,default,Payment from Priya Deshmukh for Nila Home & Kitchen,Inventory partner: Mango Leaf Home Goods; Pune fulfilment,,HDFCDEMO0003,order_DEMO_055,,card,American Express,,credit,
pay_DEMO_56,payment,0,165963,170000,INR,3400,637,false,true,1788355800,1788528600,setl_DEMO_3,,default,Payment from Karan Bhatia for Nila Home & Kitchen,Inventory partner: Deccan Storage Works; Pune fulfilment,,HDFCDEMO0003,order_DEMO_056,,upi,,,,
pay_DEMO_57,payment,0,1376699,1410000,INR,28200,5101,false,true,1788357600,1788530400,setl_DEMO_3,,default,Payment from Meera Joshi for Nila Home & Kitchen,Inventory partner: Urban Loom Supply Co.; Pune fulfilment,,HDFCDEMO0003,order_DEMO_057,,upi,,,,
pay_DEMO_58,payment,0,654163,670000,INR,13400,2437,false,true,1788359400,1788532200,setl_DEMO_3,,default,Payment from Siddharth Rao for Nila Home & Kitchen,Inventory partner: Konkan Kitchenware Traders; Pune fulfilment,,HDFCDEMO0003,order_DEMO_058,,upi,,,,
pay_DEMO_59,payment,0,1376699,1410000,INR,28200,5101,false,true,1788361200,1788534000,setl_DEMO_3,,default,Payment from Ananya Kapoor for Nila Home & Kitchen,Inventory partner: Mango Leaf Home Goods; Pune fulfilment,,HDFCDEMO0003,order_DEMO_059,,upi,,,,
pay_DEMO_60,payment,0,234336,240000,INR,4800,864,false,true,1788363000,1788535800,setl_DEMO_3,,default,Payment from Rahul Verma for Nila Home & Kitchen,Inventory partner: Deccan Storage Works; Pune fulfilment,,HDFCDEMO0003,order_DEMO_060,,upi,,,,
rfnd_DEMO_60,refund,120000,0,120000,INR,0,0,false,true,1788363000,1788535800,setl_DEMO_4,,default,Refund for order_DEMO_060,Inventory partner: Deccan Storage Works; Pune fulfilment,pay_DEMO_60,HDFCDEMO0004,order_DEMO_060,,upi,,,,
pay_DEMO_61,payment,0,205044,210000,INR,4200,756,false,true,1788364800,1788537600,setl_DEMO_4,,default,Payment from Ishita Patil for Nila Home & Kitchen,Inventory partner: Urban Loom Supply Co.; Pune fulfilment,,HDFCDEMO0004,order_DEMO_061,,upi,,,,
rfnd_DEMO_61,refund,105000,0,105000,INR,0,0,false,true,1788364800,1788537600,setl_DEMO_4,,default,Refund for order_DEMO_061,Inventory partner: Urban Loom Supply Co.; Pune fulfilment,pay_DEMO_61,HDFCDEMO0004,order_DEMO_061,,upi,,,,
pay_DEMO_62,payment,0,68348,70000,INR,1400,252,false,true,1788366600,1788539400,setl_DEMO_4,,default,Payment from Manish Gupta for Nila Home & Kitchen,Inventory partner: Konkan Kitchenware Traders; Pune fulfilment,,HDFCDEMO0004,order_DEMO_062,,upi,,,,
rfnd_DEMO_62,refund,35000,0,35000,INR,0,0,false,true,1788366600,1788539400,setl_DEMO_4,,default,Refund for order_DEMO_062,Inventory partner: Konkan Kitchenware Traders; Pune fulfilment,pay_DEMO_62,HDFCDEMO0004,order_DEMO_062,,upi,,,,
pay_DEMO_63,payment,0,556548,570000,INR,11400,2052,false,true,1788368400,1788541200,setl_DEMO_4,,default,Payment from Kavya Reddy for Nila Home & Kitchen,Inventory partner: Mango Leaf Home Goods; Pune fulfilment,,HDFCDEMO0004,order_DEMO_063,,upi,,,,
rfnd_DEMO_63,refund,285000,0,285000,INR,0,0,false,true,1788368400,1788541200,setl_DEMO_4,,default,Refund for order_DEMO_063,Inventory partner: Mango Leaf Home Goods; Pune fulfilment,pay_DEMO_63,HDFCDEMO0004,order_DEMO_063,,upi,,,,
pay_DEMO_64,payment,0,722536,740000,INR,14800,2664,false,true,1788370200,1788629400,setl_DEMO_4,,default,Payment from Nikhil Jain for Nila Home & Kitchen,Inventory partner: Deccan Storage Works; Pune fulfilment,,HDFCDEMO0004,order_DEMO_064,,upi,,,,
pay_DEMO_65,payment,0,908052,930000,INR,18600,3348,false,true,1788372000,1788631200,setl_DEMO_4,,default,Payment from Aditi Kulkarni for Nila Home & Kitchen,Inventory partner: Urban Loom Supply Co.; Pune fulfilment,,HDFCDEMO0004,order_DEMO_065,,upi,,,,
pay_DEMO_66,payment,0,1318140,1350000,INR,27000,4860,false,true,1788373800,1788633000,setl_DEMO_4,,default,Payment from Rohan Mehta for Nila Home & Kitchen,Inventory partner: Konkan Kitchenware Traders; Pune fulfilment,,HDFCDEMO0004,order_DEMO_066,,upi,,,,
pay_DEMO_67,payment,0,140602,160000,INR,3200,576,true,false,1788375600,1788548400,setl_DEMO_4,,reserve,Payment from Sneha Iyer for Nila Home & Kitchen,Inventory partner: Mango Leaf Home Goods; Pune fulfilment,,HDFCDEMO0004,order_DEMO_067,,upi,,,,
pay_DEMO_68,payment,0,957848,1090000,INR,21800,3924,true,false,1788377400,1788550200,setl_DEMO_4,,reserve,Payment from Vivek Shah for Nila Home & Kitchen,Inventory partner: Deccan Storage Works; Pune fulfilment,,HDFCDEMO0004,order_DEMO_068,,upi,,,,
pay_DEMO_69,payment,0,1230264,1400000,INR,28000,5040,true,false,1788379200,1788552000,setl_DEMO_4,,reserve,Payment from Neha Nair for Nila Home & Kitchen,Inventory partner: Urban Loom Supply Co.; Pune fulfilment,,HDFCDEMO0004,order_DEMO_069,,upi,,,,
pay_DEMO_70,payment,0,439380,450000,INR,9000,1620,false,true,1788381000,1788553800,setl_DEMO_4,,default,Payment from Arjun Menon for Nila Home & Kitchen,Inventory partner: Konkan Kitchenware Traders; Pune fulfilment,,HDFCDEMO0004,order_DEMO_070,,upi,,,,
pay_DEMO_71,payment,0,1044748,1070000,INR,21400,3852,false,true,1788382800,1788555600,setl_DEMO_4,,default,Payment from Priya Deshmukh for Nila Home & Kitchen,Inventory partner: Mango Leaf Home Goods; Pune fulfilment,,HDFCDEMO0004,order_DEMO_071,,upi,,,,
pay_DEMO_72,payment,0,302684,310000,INR,6200,1116,false,true,1788384600,1788557400,setl_DEMO_4,,default,Payment from Karan Bhatia for Nila Home & Kitchen,Inventory partner: Deccan Storage Works; Pune fulfilment,,HDFCDEMO0004,order-DEMO_072,,upi,,,,
pay_DEMO_73,payment,0,781120,800000,INR,16000,2880,false,true,1788386400,1788559200,setl_DEMO_4,,default,Payment from Meera Joshi for Nila Home & Kitchen,Inventory partner: Urban Loom Supply Co.; Pune fulfilment,,HDFCDEMO0004,order-DEMO_073,,upi,,,,
pay_DEMO_75,payment,0,214808,220100,INR,4400,792,false,true,1788390000,1788562800,setl_DEMO_4,,default,Payment from Ananya Kapoor for Nila Home & Kitchen,Inventory partner: Mango Leaf Home Goods; Pune fulfilment,,HDFCDEMO0004,order_DEMO_075,,upi,,,,
pay_DEMO_76,payment,0,1454836,1490000,INR,29800,5364,false,true,1788391800,1788564600,setl_DEMO_4,,default,Payment from Rahul Verma for Nila Home & Kitchen,Inventory partner: Deccan Storage Works; Pune fulfilment,,HDFCDEMO0004,order_DEMO_076,,upi,,,,
adj_DEMO_76,adjustment,1117500,0,1117500,INR,0,0,false,true,1788391800,1788564600,setl_DEMO_4,,default,Chargeback clawback for order_DEMO_076,Inventory partner: Deccan Storage Works; Pune fulfilment,pay_DEMO_76,HDFCDEMO0004,order_DEMO_076,,upi,,,,
pay_DEMO_77,payment,0,839704,860000,INR,17200,3096,false,true,1788393600,1788566400,setl_DEMO_4,,default,Payment from Ishita Patil for Nila Home & Kitchen,Inventory partner: Urban Loom Supply Co.; Pune fulfilment,,HDFCDEMO0004,order_DEMO_077,,upi,,,,
pay_DEMO_78,payment,0,1337668,1370000,INR,27400,4932,false,true,1788395400,1788568200,setl_DEMO_4,,default,Payment from Manish Gupta for Nila Home & Kitchen,Inventory partner: Konkan Kitchenware Traders; Pune fulfilment,,HDFCDEMO0004,order_DEMO_078,,upi,,,,
pay_DEMO_79,payment,0,654188,670000,INR,13400,2412,false,true,1788397200,1788570000,setl_DEMO_4,,default,Payment from Kavya Reddy for Nila Home & Kitchen,Inventory partner: Mango Leaf Home Goods; Pune fulfilment,,HDFCDEMO0004,order_DEMO_079,,upi,,,,
pay_DEMO_80,payment,0,859232,880000,INR,17600,3168,false,true,1788399000,1788571800,setl_DEMO_4,,default,Payment from Nikhil Jain for Nila Home & Kitchen,Inventory partner: Deccan Storage Works; Pune fulfilment,,HDFCDEMO0004,order_DEMO_080,,upi,,,,
