order_id,customer_ref,vendor_name,gross_amount,status,created_at
order_DEMO_045,Ishita Patil,Urban Loom Supply Co.,1120000,paid,1788336000
order_DEMO_046,Manish Gupta,Konkan Kitchenware Traders,1290000,paid,1788337800
order_DEMO_047,Kavya Reddy,Mango Leaf Home Goods,780000,paid,1788339600
order_DEMO_048,Nikhil Jain,Deccan Storage Works,340000,paid,1788341400
order_DEMO_049,Aditi Kulkarni,Urban Loom Supply Co.,460000,paid,1788343200
order_DEMO_050,Rohan Mehta,Konkan Kitchenware Traders,470000,paid,1788345000
order_DEMO_051,Sneha Iyer,Mango Leaf Home Goods,150000,paid,1788346800
order_DEMO_052,Vivek Shah,Deccan Storage Works,1000000,paid,1788348600
order_DEMO_053,Neha Nair,Urban Loom Supply Co.,1030000,paid,1788350400
order_DEMO_054,Arjun Menon,Konkan Kitchenware Traders,1050000,paid,1788352200
order_DEMO_055,Priya Deshmukh,Mango Leaf Home Goods,1390000,paid,1788354000
order_DEMO_056,Karan Bhatia,Deccan Storage Works,170000,paid,1788355800
order_DEMO_057,Meera Joshi,Urban Loom Supply Co.,1410000,paid,1788357600
order_DEMO_058,Siddharth Rao,Konkan Kitchenware Traders,670000,paid,1788359400
order_DEMO_059,Ananya Kapoor,Mango Leaf Home Goods,1410000,paid,1788361200
order_DEMO_060,Rahul Verma,Deccan Storage Works,240000,paid,1788363000
order_DEMO_061,Ishita Patil,Urban Loom Supply Co.,210000,paid,1788364800
order_DEMO_062,Manish Gupta,Konkan Kitchenware Traders,70000,paid,1788366600
order_DEMO_063,Kavya Reddy,Mango Leaf Home Goods,570000,paid,1788368400
order_DEMO_064,Nikhil Jain,Deccan Storage Works,740000,paid,1788370200
order_DEMO_065,Aditi Kulkarni,Urban Loom Supply Co.,930000,paid,1788372000
order_DEMO_066,Rohan Mehta,Konkan Kitchenware Traders,1350000,paid,1788373800
order_DEMO_067,Sneha Iyer,Mango Leaf Home Goods,160000,paid,1788375600
order_DEMO_068,Vivek Shah,Deccan Storage Works,1090000,paid,1788377400
order_DEMO_069,Neha Nair,Urban Loom Supply Co.,1400000,paid,1788379200
order_DEMO_070,Arjun Menon,Konkan Kitchenware Traders,450000,paid,1788381000
order_DEMO_070,Arjun Menon,Konkan Kitchenware Traders,450000,paid,1788381010
order_DEMO_071,Priya Deshmukh,Mango Leaf Home Goods,1070000,paid,1788382800
order_DEMO_071,Priya Deshmukh,Mango Leaf Home Goods,1070000,paid,1788382810
order_DEMO_072,Karan Bhatia,Deccan Storage Works,310000,paid,1788384600
order_DEMO_073,Meera Joshi,Urban Loom Supply Co.,800000,paid,1788386400
order_DEMO_074,Siddharth Rao,Konkan Kitchenware Traders,1240000,paid,1788388200
order_DEMO_075,Ananya Kapoor,Mango Leaf Home Goods,220000,paid,1788390000
order_DEMO_076,Rahul Verma,Deccan Storage Works,1490000,paid,1788391800
order_DEMO_077,Ishita Patil,Urban Loom Supply Co.,860000,paid,1788393600
order_DEMO_078,Manish Gupta,Konkan Kitchenware Traders,1370000,paid,1788395400
order_DEMO_079,Kavya Reddy,Mango Leaf Home Goods,670000,paid,1788397200
order_DEMO_080,Nikhil Jain,Deccan Storage Works,880000,paid,1788399000
